Row Type,Category,Variant,Item #,Text,Options (best -> worst) / URL,Scoring Notes / Source,Calculation
Calculation Formula,ALL CATEGORIES,,,How a category score (0-100) is calculated,,,category_score = ROUND( (SUM of every scored question's contribution ÷ number of scored questions) × 100 ).  Each contribution is 0 (best) to 1 (worst) — see the per-question Calculation column below for how each one is computed. Informational-only questions are left out of both the sum and the count.
Calculation Formula,ALL CATEGORIES,,,How the overall score (0-100) is calculated,,,overall_score = ROUND( average of all 10 category scores ).  Every category counts equally regardless of how many questions it has.
Calculation Formula,ALL CATEGORIES,,,Risk tier thresholds,,,Low = 0-33  |  Moderate = 34-66  |  High = 67-100 (applies to both category scores and the overall score)
Question,Terrain & Route Profile,,1,What best describes the terrain you'll be covering?,"Mostly flat, non-technical (road, gravel, buffed trail) | Rolling hills, mostly runnable or easily walkable trail | Mountainous, with sustained climbs and descents | Highly technical — scrambling, loose rock, exposed ridgelines, or route-finding required","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Terrain & Route Profile,,2,Roughly how much elevation gain/loss does the route have?,"Under 50 ft of gain per mile (~9 m/km, flat) | 50–150 ft per mile (~9–28 m/km, rolling) | 150–300 ft per mile (~28–57 m/km, mountainous) | Over 300 ft per mile (~57+ m/km), or sustained steep grades","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Terrain & Route Profile,,3,How much training have you done on terrain that matches the route?,Extensive — most long efforts mimic this terrain | Some — a few key sessions on similar terrain | Limited — mostly different terrain than what's ahead | None — this will be my first time on this type of terrain,"4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Terrain & Route Profile,,4,How familiar are you with the actual route?,I've covered all or most of it in training or recon | I've studied the elevation profile and maps closely | I've glanced at the route info briefly | I know almost nothing about the specific route,"4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Terrain & Route Profile,,5,"How confident are you in the technical skills this route demands (descending loose footing, scrambling, stream crossings, route-finding)?","Very confident — I've practiced these specifically | Comfortable, with some practice | A little rusty or untested | Not confident, or never practiced","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Environment & Climate,,1,What environment will you be moving through?,"Similar to what I train in year-round | Moderately different (some added heat, humidity, or altitude) | Significantly different (desert heat, high altitude, rain forest humidity, or deep cold) | Extreme and unfamiliar — I've never trained or spent time in this climate","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Environment & Climate,,2,How does the elevation ahead compare to where you live and train?,"Same or very close | Moderately higher, and I'll arrive at least a week early to adjust | Moderately higher, but I'm arriving less than 72 hours before the start | Much higher (2,000+ ft / 610+ m difference), with no acclimation plan","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Environment & Climate,,3,Have you done any heat or humidity acclimation training for this event?,"Yes, a dedicated block of heat training | Some sessions in the heat or humidity | I've thought about it but haven't done it | No — and it will be much hotter or more humid than my training","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Environment & Climate,,4,"If cold, wet, or highly variable weather is possible, have you trained and tested gear in those conditions?","Yes, extensively — I know how my body and gear respond | Some exposure and testing | Minimal — a session or two | None, and conditions could be extreme","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Environment & Climate,,5,"How prepared are you for weather swings on the days ahead (temperature, rain, wind)?","I have layers and a plan for multiple scenarios | General plan, but haven't tested every piece | One setup packed, hoping for the best | Haven't thought about it","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Gear & Tools,Ultramarathon,1,Have you reviewed and packed your event's mandatory or recommended gear list?,"Yes, fully — everything is checked off and tested | Mostly — a couple items still need attention | I've glanced at it but haven't packed | I haven't checked the gear list","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
